"Story","Title","Result","Date","Stability","Duration (s)"
"Verificar modularmente las validaciones de la pantalla de Validation Popup","Title of your scenario","PENDING","17:53:37","0.0","0.52"
"Verificar modularmente las validaciones de la pantalla de Validation Popup","Title of your scenario outline","PENDING","17:53:41","0.0","0.01"
"Verificar modularmente las validaciones de la pantalla de Validation Popup","Autenticar en metis","SUCCESS","09:03:21","0.0","23.15"
"Consulta Cursos","Consulta cursos Analista x","PENDING","17:53:41","0.0","0.0"
"Consulta Cursos","Consulta Cursos Admininstrativos","PENDING","17:53:42","0.0","0.0"
"Búsqueda Empresas","Buscar empresas medellin","PENDING","17:54:28","0.0","0.0"
"Descarga Plantillas","Descargar Plantilla de Presentaciones","PENDING","17:54:28","0.0","0.0"
"Verificar modularmente las validaciones de la pantalla de Validation Popup","Autenticar en metis con datos en tabla","SUCCESS","08:18:19","0.0","23.21"
"Búsqueda Empleado","Buscar Automatizadores","SUCCESS","08:48:28","0.0","25.52"
"Búsqueda Empleado","Buscar Analistas de Prueba","ERROR","17:39:03","0.0","12.39"
